N=100 	 R=1000000 	 s=1 	 Save [density, Z, rho_t, like/unlike, events per sweep]
0.0001350 	 1.0005096 	 1.1026 	 1.009 	 10.124
0.0132541 	 1.1627680 	 12.2001 	 0.951 	 46.738
0.0260836 	 1.1528026 	 22.8218 	 1.004 	 78.933
0.0385143 	 1.1918865 	 33.2789 	 1.013 	 88.235
0.0505283 	 1.2395626 	 43.7220 	 1.016 	 92.009
0.0621850 	 1.2921902 	 53.9325 	 1.018 	 93.769
0.0734888 	 1.3482960 	 64.6322 	 1.019 	 94.777
0.0844525 	 1.4077270 	 74.5160 	 1.020 	 95.246
0.0950839 	 1.4696257 	 85.3226 	 1.021 	 95.515
0.1054178 	 1.5336915 	 94.9820 	 1.021 	 95.658
0.1154584 	 1.6000040 	 104.8864 	 1.023 	 95.722
0.1252266 	 1.6684732 	 116.4492 	 1.025 	 95.790
0.1347229 	 1.7386714 	 125.5405 	 1.026 	 95.809
0.1439561 	 1.8101861 	 134.2458 	 1.027 	 95.884
0.1529475 	 1.8842976 	 145.2243 	 1.028 	 95.872
0.1617084 	 1.9599363 	 156.8355 	 1.030 	 95.835
0.1702430 	 2.0370365 	 168.1190 	 1.031 	 95.812
0.1785588 	 2.1157937 	 178.7342 	 1.032 	 95.787
0.1866578 	 2.1966028 	 188.9461 	 1.034 	 95.782
0.1945653 	 2.2784650 	 199.2205 	 1.035 	 95.748
0.2022730 	 2.3622797 	 210.2999 	 1.036 	 95.740
0.2098042 	 2.4474805 	 221.2512 	 1.037 	 95.717
0.2171486 	 2.5346533 	 234.0611 	 1.039 	 95.707
0.2243219 	 2.6228072 	 245.1911 	 1.040 	 95.670
0.2313314 	 2.7127357 	 255.6977 	 1.041 	 95.665
0.2381809 	 2.8042419 	 263.2470 	 1.042 	 95.635
0.2448773 	 2.8976129 	 271.0388 	 1.043 	 95.620
0.2514218 	 2.9919630 	 280.9917 	 1.044 	 95.610
0.2578260 	 3.0882690 	 291.8270 	 1.045 	 95.604
0.2640889 	 3.1864837 	 302.0280 	 1.046 	 95.582
0.2702213 	 3.2855693 	 311.5384 	 1.048 	 95.578
0.2762203 	 3.3873282 	 323.7896 	 1.049 	 95.594
0.2820962 	 3.4885068 	 334.5478 	 1.049 	 95.546
0.2878565 	 3.5931578 	 345.3423 	 1.051 	 95.540
0.2934915 	 3.6979794 	 355.0501 	 1.051 	 95.546
0.2990168 	 3.8053707 	 364.7406 	 1.053 	 95.512
0.3044295 	 3.9132055 	 373.1583 	 1.053 	 95.474
0.3097332 	 4.0233484 	 381.1230 	 1.055 	 95.511
0.3149358 	 4.1355532 	 392.2077 	 1.056 	 95.467
0.3200413 	 4.2486884 	 402.4817 	 1.057 	 95.484
0.3250487 	 4.3623169 	 414.3256 	 1.058 	 95.469
0.3299604 	 4.4777748 	 425.7114 	 1.059 	 95.446
0.3347773 	 4.5960020 	 435.6111 	 1.060 	 95.433
0.3395045 	 4.7154809 	 444.5592 	 1.061 	 95.439
0.3441508 	 4.8338616 	 453.8474 	 1.061 	 95.384
0.3487108 	 4.9551745 	 465.7197 	 1.062 	 95.366
0.3531898 	 5.0796509 	 475.5232 	 1.063 	 95.382
0.3575907 	 5.2028001 	 482.8611 	 1.064 	 95.363
0.3619123 	 5.3298971 	 493.3928 	 1.065 	 95.370
0.3661633 	 5.4575110 	 502.9401 	 1.066 	 95.354
0.3703400 	 5.5880404 	 508.5042 	 1.066 	 95.374
0.3744441 	 5.7177189 	 517.8602 	 1.067 	 95.359
0.3784802 	 5.8500707 	 528.0334 	 1.068 	 95.359
0.3824500 	 5.9824274 	 534.8739 	 1.070 	 95.315
0.3863524 	 6.1158894 	 543.4550 	 1.070 	 95.300
0.3901924 	 6.2524437 	 557.0308 	 1.070 	 95.310
0.3939714 	 6.3919484 	 567.7954 	 1.071 	 95.317
0.3976913 	 6.5284524 	 582.2530 	 1.072 	 95.278
0.4013516 	 6.6707918 	 588.5466 	 1.073 	 95.292
0.4049538 	 6.8108897 	 601.2186 	 1.073 	 95.267
0.4084957 	 6.9526423 	 611.9842 	 1.074 	 95.214
0.4119869 	 7.0985960 	 619.6163 	 1.074 	 95.225
0.4154267 	 7.2459949 	 634.5315 	 1.075 	 95.264
0.4188145 	 7.3923036 	 649.6913 	 1.075 	 95.237
0.4221501 	 7.5401775 	 666.1123 	 1.076 	 95.226
0.4254367 	 7.6897038 	 680.4497 	 1.077 	 95.220
0.4286725 	 7.8421129 	 692.3523 	 1.077 	 95.203
0.4318639 	 7.9954383 	 696.0316 	 1.078 	 95.210
0.4350058 	 8.1494132 	 707.1256 	 1.079 	 95.207
0.4381040 	 8.3058890 	 715.8841 	 1.079 	 95.187
0.4411588 	 8.4636401 	 733.7880 	 1.080 	 95.172
0.4441696 	 8.6203831 	 743.7389 	 1.080 	 95.161
0.4471395 	 8.7802114 	 755.2131 	 1.081 	 95.171
0.4500658 	 8.9416485 	 762.1270 	 1.080 	 95.163
0.4529541 	 9.1043781 	 769.7478 	 1.081 	 95.168
0.4558032 	 9.2648955 	 774.9130 	 1.081 	 95.135
0.4586106 	 9.4328801 	 779.2814 	 1.082 	 95.153
0.4613818 	 9.5973076 	 786.6070 	 1.082 	 95.154
0.4641164 	 9.7676786 	 794.0943 	 1.083 	 95.143
0.4668149 	 9.9350737 	 806.1552 	 1.083 	 95.116
