# Phi	Z	lower	upper	k	lower	upper	var_S	like/unlike	lower	upper
0.000000000000000000e+00	1.000854975116931112e+00	1.000854699158091554e+00	1.000855260336763086e+00	4.323770627726036764e+03	4.322645154514656497e+03	4.324900832693409029e+03	0.000000000000000000e+00	9.936183348924215730e-01	9.932619270346106921e-01	9.939756782039287364e-01
6.306306306306305861e-04	1.004233934320145849e+00	1.004233599262717380e+00	1.004234282938266665e+00	4.244300537057048132e+03	4.243206541297224248e+03	4.245397512179608384e+03	5.234480053804244265e-11	9.930019911386559484e-01	9.926514733942189972e-01	9.933525986382518713e-01
1.261261261261261172e-03	1.009501187146697010e+00	1.009500727079034377e+00	1.009501657972379896e+00	4.120427556382904186e+03	4.119364911745703466e+03	4.121492261573102041e+03	6.244587957274249995e-11	9.920411749530229084e-01	9.917005945302886927e-01	9.923813760124629013e-01
1.891891891891891650e-03	1.014768439622276031e+00	1.014767825234654808e+00	1.014769068640342997e+00	3.996554585754663549e+03	3.995523293186696264e+03	3.997586440215318362e+03	8.049805143413443464e-11	9.910803586818190958e-01	9.907505713626048038e-01	9.914104832672910872e-01
2.522522522522522345e-03	1.020035691746882023e+00	1.020034893174200930e+00	1.020036507374316281e+00	3.872681625172224813e+03	3.871681685620207190e+03	3.873680128230946593e+03	1.065012244303627143e-10	9.901195423250048755e-01	9.897999870514645471e-01	9.904391760170814241e-01
3.153153153153153039e-03	1.025302943520521426e+00	1.025301949084282294e+00	1.025303958204291321e+00	3.748808674635508851e+03	3.747843066211363748e+03	3.749773928558407988e+03	1.404553070746471670e-10	9.891587258825470519e-01	9.888491784304812571e-01	9.894684000320238537e-01
3.783783783783783300e-03	1.030570194943192019e+00	1.030569018515852253e+00	1.030571401909268880e+00	3.624935734144416529e+03	3.624003408090420180e+03	3.625869252944203708e+03	1.823602080921241854e-10	9.881979093544045467e-01	9.878980934634337130e-01	9.884972795128634804e-01
4.414414414414414428e-03	1.035837446014903129e+00	1.035836077046478954e+00	1.035838847534229501e+00	3.501062803698846892e+03	3.500163626207881862e+03	3.501962140709726555e+03	2.322158363843414332e-10	9.872370927405407226e-01	9.869476187386017063e-01	9.875264929908136313e-01
5.045045045045044689e-03	1.041104696735654978e+00	1.041103143589608315e+00	1.041106299343014241e+00	3.377189883298707628e+03	3.376321581882172723e+03	3.378057087536714789e+03	2.900221010420947965e-10	9.862762760409177210e-01	9.859971376350344929e-01	9.865552997999033069e-01
5.675675675675674950e-03	1.046371947105449118e+00	1.046370204961235562e+00	1.046373746830559170e+00	3.253316972943901419e+03	3.252482487400637183e+03	3.254151854541788452e+03	3.557789113943374542e-10	9.853154592554990154e-01	9.850464220118467784e-01	9.855845517989576532e-01
6.306306306306306078e-03	1.051639197124288660e+00	1.051637260887850811e+00	1.051641192623159249e+00	3.129444072634347776e+03	3.128639391130225249e+03	3.130248207377570907e+03	4.294861769075596631e-10	9.843546423842470805e-01	9.840957050809699957e-01	9.846130038059367484e-01
6.936936936936936339e-03	1.056906446792177157e+00	1.056904315142076056e+00	1.056908630283384998e+00	3.005571182369937560e+03	3.004799641406602404e+03	3.006342474426120589e+03	5.111438073217132221e-10	9.833938254271221702e-01	9.831453563122968253e-01	9.836419598881990245e-01
7.567567567567566600e-03	1.062173696109117049e+00	1.062171375931965089e+00	1.062176072105704527e+00	2.881698302150583004e+03	2.880959642867223920e+03	2.882436165916574737e+03	6.007517125130654694e-10	9.824330083840895345e-01	9.821942319987020387e-01	9.826713810758469503e-01
8.198198198198197728e-03	1.067440945075115000e+00	1.067438425101656430e+00	1.067443524778178610e+00	2.757825431976189066e+03	2.757118178841296412e+03	2.758532286603592638e+03	6.983098025618566075e-10	9.814721912551112037e-01	9.812431077743644092e-01	9.817005481007829992e-01
8.828828828828828856e-03	1.072708193690167233e+00	1.072705485938997727e+00	1.072710985869828493e+00	2.633952571846667524e+03	2.633276883733409250e+03	2.634629225774280258e+03	8.038179877724859093e-10	9.805113740401474320e-01	9.802928041434638695e-01	9.807298179335562915e-01
9.459459459459458250e-03	1.077975441954281743e+00	1.077972536278718474e+00	1.077978426118147537e+00	2.510079721761902874e+03	2.509434674425799130e+03	2.510723787148609972e+03	9.172761786568977433e-10	9.795505567391636914e-01	9.793421008104336023e-01	9.797582093294189276e-01
1.009009009009008938e-02	1.083242689867458086e+00	1.083239595113797415e+00	1.083245870409003331e+00	2.386206881721828267e+03	2.385594945812256810e+03	2.386817444783746851e+03	1.038684285860635660e-09	9.785897393521205689e-01	9.783912717363009159e-01	9.787869564610347517e-01
1.072072072072072051e-02	1.088509937429702701e+00	1.088506641209587178e+00	1.088513312459436833e+00	2.262334051726338657e+03	2.261756533620050050e+03	2.262911130966200744e+03	1.168042220275256752e-09	9.776289218789840918e-01	9.774409081184796122e-01	9.778160942627752705e-01
1.135135135135134990e-02	1.093777184641017808e+00	1.093773705152257580e+00	1.093780760675858277e+00	2.138461231775339456e+03	2.137915095962302530e+03	2.139006212270861852e+03	1.305349892977651859e-09	9.766681043197106282e-01	9.764910928449156424e-01	9.768450365586323070e-01
1.198198198198198103e-02	1.099044431501403185e+00	1.099040759723713068e+00	1.099048214553073111e+00	2.014588421868734031e+03	2.014073537701335908e+03	2.015100967958338970e+03	1.450607215299782785e-09	9.757072866742658723e-01	9.755402851983472345e-01	9.758746381681563387e-01
1.261261261261261216e-02	1.104311678010862607e+00	1.104307819616246800e+00	1.104315659006566364e+00	1.890715622006437343e+03	1.890234534129083158e+03	1.891197369717829133e+03	1.603814098618800004e-09	9.747464689426135198e-01	9.745897598525347094e-01	9.749035571410429313e-01
1.324324324324324155e-02	1.109578924169402736e+00	1.109574871081629777e+00	1.109583098851682381e+00	1.766842832188348893e+03	1.766395036834012672e+03	1.767293687508587709e+03	1.764970454705365934e-09	9.737856511247158231e-01	9.736389221391185123e-01	9.739323051750606863e-01
1.387387387387387268e-02	1.114846169977020018e+00	1.114841920238125672e+00	1.114850549669803348e+00	1.642970052414375687e+03	1.642555385852005202e+03	1.643386632491141654e+03	1.934076195342687395e-09	9.728248332205339244e-01	9.726879768607959997e-01	9.729614524973798639e-01
1.450450450450450381e-02	1.120113415433725335e+00	1.120108969048323466e+00	1.120117999149235821e+00	1.519097282684422225e+03	1.518713359073397669e+03	1.519481625005739716e+03	2.111131232632018634e-09	9.718640152300296320e-01	9.717370309745617663e-01	9.719909387798019162e-01
1.513513513513513320e-02	1.125380660539514022e+00	1.125376016614236363e+00	1.125385442564551974e+00	1.395224522998403927e+03	1.394871206731820166e+03	1.395576597782096542e+03	2.296135478882431450e-09	9.709031971531684180e-01	9.707860470196408853e-01	9.710196045732697456e-01
1.576576576576576433e-02	1.130647905294393851e+00	1.130643056837958405e+00	1.130652885931603846e+00	1.271351773356216654e+03	1.271031056264280778e+03	1.271672901943491979e+03	2.489088846515736774e-09	9.699423789899128678e-01	9.698351564402893921e-01	9.700493479686826959e-01
1.639639639639639546e-02	1.135915149698364823e+00	1.135910112034228758e+00	1.135920336633970518e+00	1.147479033757772640e+03	1.147187565458453264e+03	1.147769217189599658e+03	2.689991248132787541e-09	9.689815607402200159e-01	9.688841896688379363e-01	9.690786120029989403e-01
1.702702702702702658e-02	1.141182393751433155e+00	1.141177164197636706e+00	1.141187786947655214e+00	1.023606304202979459e+03	1.023346567827655349e+03	1.023865029528755372e+03	2.898842596659627440e-09	9.680207424040597752e-01	9.679333171556172566e-01	9.681083173445902412e-01
1.765765765765765771e-02	1.146449637453601511e+00	1.146444207904902868e+00	1.146455236872662375e+00	8.997335846917421804e+02	8.995028064172086033e+02	8.999632636969165560e+02	3.115642805157043746e-09	9.670599239813889580e-01	9.669817455555594909e-01	9.671379862937481420e-01
1.828828828828828537e-02	1.151716880804866783e+00	1.151711253424891890e+00	1.151722675559519571e+00	7.758608752239666728e+02	7.756580888623166175e+02	7.760635087777352510e+02	3.340391786870860728e-09	9.660991054721744797e-01	9.660303243325558675e-01	9.661676264200733666e-01
1.891891891891891650e-02	1.156984123805236964e+00	1.156978300150138361e+00	1.156990116499888366e+00	6.519881757995603948e+02	6.518098985959344418e+02	6.521656313702831085e+02	3.573089455189713321e-09	9.651382868763757061e-01	9.650782465275755673e-01	9.651985083370216989e-01
1.954954954954954763e-02	1.162251366454715162e+00	1.162245347063349143e+00	1.162257557364314353e+00	5.281154864184308053e+02	5.279623650719775014e+02	5.282670307280640145e+02	3.813735723805076380e-09	9.641774681939569991e-01	9.641259305262854795e-01	9.642294235987843853e-01
2.018018018018017876e-02	1.167518608753303822e+00	1.167512392756916206e+00	1.167524993086154650e+00	4.042428070804831464e+02	4.041081354670909036e+02	4.043748718246361591e+02	4.062330506530951303e-09	9.632166494248808331e-01	9.631723342093992946e-01	9.632612090301880814e-01
2.081081081081080988e-02	1.172785850701005383e+00	1.172779438104199379e+00	1.172792438100358048e+00	2.803701377856266959e+02	2.802518895080059451e+02	2.804864918155142846e+02	4.318873717454320670e-09	9.622558305691073510e-01	9.622175255544276329e-01	9.622945021758708695e-01
2.144144144144144101e-02	1.178053092297822735e+00	1.178046483105190889e+00	1.178059882766353539e+00	1.564974785337666390e+02	1.563870855695550972e+02	1.566084470433346212e+02	4.583365270798561699e-09	9.612950116266021361e-01	9.612601433151116703e-01	9.613298460850007165e-01
2.207207207207207214e-02	1.183263150462751101e+00	1.183258318948678278e+00	1.183268071691636836e+00	3.440104674330651591e+01	3.436803605821912555e+01	3.443619562556518332e+01	5.243718791838824518e-09	9.603644162708135923e-01	9.603308818933259383e-01	9.603984684396207339e-01
2.270270270270269980e-02	1.184566961776020166e+00	1.184562678240191458e+00	1.184571266455194172e+00	3.364764416481604314e+01	3.364718324488502788e+01	3.364811124351697202e+01	5.351560822057314824e-09	9.615003593339677135e-01	9.614678868315642557e-01	9.615332838002781379e-01
2.333333333333333093e-02	1.185863385825318250e+00	1.185859241829950728e+00	1.185867563445044404e+00	3.312368488278960399e+01	3.312324286279691421e+01	3.312413295732748253e+01	5.361719878644898506e-09	9.626402152116424471e-01	9.626088062847812932e-01	9.626721020358031122e-01
